variable_id	table_version_id	table_name	variable_name	variable_type	column_name	column_type
phv00082663.v1	pht001111.v4	AirNRExamMain	volpm1c	NUMERIC	volpm1c	FLOAT
phv00082664.v1	pht001111.v4	AirNRExamMain	vospm1c	NUMERIC	vospm1c	FLOAT
phv00082665.v1	pht001111.v4	AirNRExamMain	rbrach1	NUMERIC	rbrach1	FLOAT
phv00082666.v1	pht001111.v4	AirNRExamMain	rdpedis1	NUMERIC	rdpedis1	FLOAT
phv00082667.v1	pht001111.v4	AirNRExamMain	rptib1	NUMERIC	rptib1	FLOAT
phv00082668.v1	pht001111.v4	AirNRExamMain	lptib1	NUMERIC	lptib1	FLOAT
phv00082669.v1	pht001111.v4	AirNRExamMain	ldpedis1	NUMERIC	ldpedis1	FLOAT
phv00082670.v1	pht001111.v4	AirNRExamMain	lbrach1	NUMERIC	lbrach1	FLOAT
phv00082671.v1	pht001111.v4	AirNRExamMain	aabpcmp1	NUMERIC	aabpcmp1	FLOAT
phv00082672.v1	pht001111.v4	AirNRExamMain	rluoccl1	NUMERIC	rluoccl1	FLOAT
phv00082673.v1	pht001111.v4	AirNRExamMain	rlulcer1	NUMERIC	rlulcer1	FLOAT
phv00082674.v1	pht001111.v4	AirNRExamMain	rlamput1	NUMERIC	rlamput1	FLOAT
phv00082675.v1	pht001111.v4	AirNRExamMain	rulocdp1	NUMERIC	rulocdp1	FLOAT
phv00082676.v1	pht001111.v4	AirNRExamMain	rulocpt1	NUMERIC	rulocpt1	FLOAT
phv00082677.v1	pht001111.v4	AirNRExamMain	lluoccl1	NUMERIC	lluoccl1	FLOAT
phv00082678.v1	pht001111.v4	AirNRExamMain	llulcer1	NUMERIC	llulcer1	FLOAT
phv00082679.v1	pht001111.v4	AirNRExamMain	llamput1	NUMERIC	llamput1	FLOAT
phv00082680.v1	pht001111.v4	AirNRExamMain	lulocdp1	NUMERIC	lulocdp1	FLOAT
phv00082681.v1	pht001111.v4	AirNRExamMain	lulocpt1	NUMERIC	lulocpt1	FLOAT
phv00082682.v2	pht001111.v4	AirNRExamMain	abi1c	NUMERIC	abi1c	FLOAT
phv00082683.v1	pht001111.v4	AirNRExamMain	htcm1	NUMERIC	htcm1	FLOAT
phv00082684.v1	pht001111.v4	AirNRExamMain	htmodp1	NUMERIC	htmodp1	FLOAT
phv00082685.v1	pht001111.v4	AirNRExamMain	wtlb1	NUMERIC	wtlb1	FLOAT
phv00082686.v1	pht001111.v4	AirNRExamMain	wtmodp1	NUMERIC	wtmodp1	FLOAT
phv00082687.v1	pht001111.v4	AirNRExamMain	waistcm1	NUMERIC	waistcm1	FLOAT
phv00082688.v1	pht001111.v4	AirNRExamMain	hipcm1	NUMERIC	hipcm1	FLOAT
phv00082689.v1	pht001111.v4	AirNRExamMain	hwmodp1	NUMERIC	hwmodp1	FLOAT
phv00082690.v1	pht001111.v4	AirNRExamMain	cmtmodp1	NUMERIC	cmtmodp1	FLOAT
phv00082691.v2	pht001111.v4	AirNRExamMain	bmi1c	NUMERIC	bmi1c	FLOAT
phv00082692.v1	pht001111.v4	AirNRExamMain	bmicat1c	NUMERIC	bmicat1c	FLOAT
phv00082693.v2	pht001111.v4	AirNRExamMain	bsa1c	NUMERIC	bsa1c	FLOAT
phv00082694.v1	pht001111.v4	AirNRExamMain	ecgoe1	NUMERIC	ecgoe1	FLOAT
phv00082695.v1	pht001111.v4	AirNRExamMain	ecgov61	NUMERIC	ecgov61	FLOAT
phv00082696.v1	pht001111.v4	AirNRExamMain	ecgfst1	NUMERIC	ecgfst1	FLOAT
phv00082697.v1	pht001111.v4	AirNRExamMain	eceattm1	STRING	eceattm1	STRING
phv00082698.v1	pht001111.v4	AirNRExamMain	ecgcmp1	NUMERIC	ecgcmp1	FLOAT
phv00082699.v1	pht001111.v4	AirNRExamMain	ecginc1	NUMERIC	ecginc1	FLOAT
phv00082700.v1	pht001111.v4	AirNRExamMain	hrtrate1	NUMERIC	hrtrate1	FLOAT
phv00082701.v1	pht001111.v4	AirNRExamMain	ecgafib1	NUMERIC	ecgafib1	FLOAT
phv00082702.v1	pht001111.v4	AirNRExamMain	ecgpmk1	NUMERIC	ecgpmk1	FLOAT
phv00082703.v1	pht001111.v4	AirNRExamMain	ecgaflt1	NUMERIC	ecgaflt1	FLOAT
phv00082704.v1	pht001111.v4	AirNRExamMain	ecgwpw1	NUMERIC	ecgwpw1	FLOAT
phv00082705.v1	pht001111.v4	AirNRExamMain	ecgivrh1	NUMERIC	ecgivrh1	FLOAT
phv00082706.v1	pht001111.v4	AirNRExamMain	ecgvtch1	NUMERIC	ecgvtch1	FLOAT
phv00082707.v1	pht001111.v4	AirNRExamMain	ecghblk1	NUMERIC	ecghblk1	FLOAT
phv00082708.v1	pht001111.v4	AirNRExamMain	ecglbbb1	NUMERIC	ecglbbb1	FLOAT
phv00082709.v1	pht001111.v4	AirNRExamMain	ecgacpr1	NUMERIC	ecgacpr1	FLOAT
phv00082710.v1	pht001111.v4	AirNRExamMain	ecginj1	NUMERIC	ecginj1	FLOAT
phv00082711.v1	pht001111.v4	AirNRExamMain	ecgoth1	NUMERIC	ecgoth1	FLOAT
phv00082712.v1	pht001111.v4	AirNRExamMain	cartnum1	NUMERIC	cartnum1	FLOAT
phv00082713.v1	pht001111.v4	AirNRExamMain	epicare1	NUMERIC	epicare1	FLOAT
phv00082714.v1	pht001111.v4	AirNRExamMain	prdur1	NUMERIC	prdur1	FLOAT
phv00082715.v1	pht001111.v4	AirNRExamMain	qrsdur1	NUMERIC	qrsdur1	FLOAT
phv00082716.v1	pht001111.v4	AirNRExamMain	qtdur1	NUMERIC	qtdur1	FLOAT
phv00082717.v1	pht001111.v4	AirNRExamMain	qtcdur1	NUMERIC	qtcdur1	FLOAT
phv00082718.v1	pht001111.v4	AirNRExamMain	paxis1	NUMERIC	paxis1	FLOAT
phv00082719.v1	pht001111.v4	AirNRExamMain	qrsaxis1	NUMERIC	qrsaxis1	FLOAT
phv00082720.v1	pht001111.v4	AirNRExamMain	taxis1	NUMERIC	taxis1	FLOAT
phv00082721.v1	pht001111.v4	AirNRExamMain	ecgqgrd1	NUMERIC	ecgqgrd1	FLOAT
phv00082722.v1	pht001111.v4	AirNRExamMain	leadswp1	NUMERIC	leadswp1	FLOAT
phv00082723.v1	pht001111.v4	AirNRExamMain	ncvp1a1	STRING	ncvp1a1	STRING
phv00082724.v1	pht001111.v4	AirNRExamMain	ncvp1b1	STRING	ncvp1b1	STRING
phv00082725.v1	pht001111.v4	AirNRExamMain	ncvp1c1	STRING	ncvp1c1	STRING
phv00082726.v1	pht001111.v4	AirNRExamMain	ncvp1d1	STRING	ncvp1d1	STRING
phv00082727.v1	pht001111.v4	AirNRExamMain	ncvp1e1	STRING	ncvp1e1	STRING
phv00082728.v1	pht001111.v4	AirNRExamMain	ncvp1f1	STRING	ncvp1f1	STRING
phv00082729.v1	pht001111.v4	AirNRExamMain	ncvp1g1	STRING	ncvp1g1	STRING
phv00082730.v1	pht001111.v4	AirNRExamMain	ncsuppa1	STRING	ncsuppa1	STRING
phv00082731.v1	pht001111.v4	AirNRExamMain	ncsuppb1	STRING	ncsuppb1	STRING
phv00082732.v1	pht001111.v4	AirNRExamMain	ncsuppc1	STRING	ncsuppc1	STRING
phv00082733.v1	pht001111.v4	AirNRExamMain	ncsuppd1	STRING	ncsuppd1	STRING
phv00082734.v1	pht001111.v4	AirNRExamMain	ncsuppe1	STRING	ncsuppe1	STRING
phv00082735.v1	pht001111.v4	AirNRExamMain	ncsuppf1	STRING	ncsuppf1	STRING
phv00082736.v1	pht001111.v4	AirNRExamMain	ncsuppg1	STRING	ncsuppg1	STRING
phv00082737.v1	pht001111.v4	AirNRExamMain	ncsp21	STRING	ncsp21	STRING
phv00082738.v1	pht001111.v4	AirNRExamMain	ncsp31	STRING	ncsp31	STRING
phv00082739.v1	pht001111.v4	AirNRExamMain	ncsp41	STRING	ncsp41	STRING
phv00082740.v1	pht001111.v4	AirNRExamMain	ncsp51	STRING	ncsp51	STRING
phv00082741.v1	pht001111.v4	AirNRExamMain	ncsp61	STRING	ncsp61	STRING
phv00082742.v1	pht001111.v4	AirNRExamMain	ncsp71	STRING	ncsp71	STRING
phv00082743.v1	pht001111.v4	AirNRExamMain	ncsp81	STRING	ncsp81	STRING
phv00082744.v1	pht001111.v4	AirNRExamMain	ncsp91	STRING	ncsp91	STRING
phv00082745.v1	pht001111.v4	AirNRExamMain	ncsp101	STRING	ncsp101	STRING
phv00082746.v1	pht001111.v4	AirNRExamMain	ncvp21	STRING	ncvp21	STRING
phv00082747.v1	pht001111.v4	AirNRExamMain	ncvp31	STRING	ncvp31	STRING
phv00082748.v1	pht001111.v4	AirNRExamMain	ncvp41	STRING	ncvp41	STRING
phv00082749.v1	pht001111.v4	AirNRExamMain	ncvp51	STRING	ncvp51	STRING
phv00082750.v1	pht001111.v4	AirNRExamMain	ncvp61	STRING	ncvp61	STRING
phv00082751.v1	pht001111.v4	AirNRExamMain	ncvp71	STRING	ncvp71	STRING
phv00082752.v1	pht001111.v4	AirNRExamMain	ncvp81	STRING	ncvp81	STRING
phv00082753.v1	pht001111.v4	AirNRExamMain	ncvp91	STRING	ncvp91	STRING
phv00082754.v1	pht001111.v4	AirNRExamMain	ncvp101	STRING	ncvp101	STRING
phv00082755.v1	pht001111.v4	AirNRExamMain	mc1avl1	STRING	mc1avl1	STRING
phv00082756.v1	pht001111.v4	AirNRExamMain	mc1i1	STRING	mc1i1	STRING
phv00082757.v1	pht001111.v4	AirNRExamMain	mc1ii1	STRING	mc1ii1	STRING
phv00082758.v1	pht001111.v4	AirNRExamMain	mc1avf1	STRING	mc1avf1	STRING
phv00082759.v1	pht001111.v4	AirNRExamMain	mc1iii1	STRING	mc1iii1	STRING
phv00082760.v1	pht001111.v4	AirNRExamMain	mc1v11	STRING	mc1v11	STRING
phv00082761.v1	pht001111.v4	AirNRExamMain	mc1v21	STRING	mc1v21	STRING
phv00082762.v1	pht001111.v4	AirNRExamMain	mc1v31	STRING	mc1v31	STRING
phv00082763.v1	pht001111.v4	AirNRExamMain	mc1v41	STRING	mc1v41	STRING
phv00082764.v1	pht001111.v4	AirNRExamMain	mc1v51	STRING	mc1v51	STRING
phv00082765.v1	pht001111.v4	AirNRExamMain	mc1v61	STRING	mc1v61	STRING
phv00082766.v1	pht001111.v4	AirNRExamMain	mc4avl1	STRING	mc4avl1	STRING
phv00082767.v1	pht001111.v4	AirNRExamMain	mc4i1	STRING	mc4i1	STRING
phv00082768.v1	pht001111.v4	AirNRExamMain	mc4ii1	STRING	mc4ii1	STRING
phv00082769.v1	pht001111.v4	AirNRExamMain	mc4avf1	STRING	mc4avf1	STRING
phv00082770.v1	pht001111.v4	AirNRExamMain	mc4iii1	STRING	mc4iii1	STRING
phv00082771.v1	pht001111.v4	AirNRExamMain	mc4v11	STRING	mc4v11	STRING
phv00082772.v1	pht001111.v4	AirNRExamMain	mc4v21	STRING	mc4v21	STRING
phv00082773.v1	pht001111.v4	AirNRExamMain	mc4v31	STRING	mc4v31	STRING
phv00082774.v1	pht001111.v4	AirNRExamMain	mc4v41	STRING	mc4v41	STRING
phv00082775.v1	pht001111.v4	AirNRExamMain	mc4v51	STRING	mc4v51	STRING
phv00082776.v1	pht001111.v4	AirNRExamMain	mc4v61	STRING	mc4v61	STRING
phv00082777.v1	pht001111.v4	AirNRExamMain	mc5avl1	STRING	mc5avl1	STRING
phv00082778.v1	pht001111.v4	AirNRExamMain	mc5i1	STRING	mc5i1	STRING
phv00082779.v1	pht001111.v4	AirNRExamMain	mc5ii1	STRING	mc5ii1	STRING
phv00082780.v1	pht001111.v4	AirNRExamMain	mc5avf1	STRING	mc5avf1	STRING
phv00082781.v1	pht001111.v4	AirNRExamMain	mc5iii1	STRING	mc5iii1	STRING
phv00082782.v1	pht001111.v4	AirNRExamMain	mc5v11	STRING	mc5v11	STRING
phv00082783.v1	pht001111.v4	AirNRExamMain	mc5v21	STRING	mc5v21	STRING
phv00082784.v1	pht001111.v4	AirNRExamMain	mc5v31	STRING	mc5v31	STRING
phv00082785.v1	pht001111.v4	AirNRExamMain	mc5v41	STRING	mc5v41	STRING
phv00082786.v1	pht001111.v4	AirNRExamMain	mc5v51	STRING	mc5v51	STRING
phv00082787.v1	pht001111.v4	AirNRExamMain	mc5v61	STRING	mc5v61	STRING
phv00082788.v1	pht001111.v4	AirNRExamMain	mc92avl1	STRING	mc92avl1	STRING
phv00082789.v1	pht001111.v4	AirNRExamMain	mc92i1	STRING	mc92i1	STRING
phv00082790.v1	pht001111.v4	AirNRExamMain	mc92ii1	STRING	mc92ii1	STRING
phv00082791.v1	pht001111.v4	AirNRExamMain	mc92avf1	STRING	mc92avf1	STRING
phv00082792.v1	pht001111.v4	AirNRExamMain	mc92iii1	STRING	mc92iii1	STRING
phv00082793.v1	pht001111.v4	AirNRExamMain	mc92v11	STRING	mc92v11	STRING
phv00082794.v1	pht001111.v4	AirNRExamMain	mc92v21	STRING	mc92v21	STRING
phv00082795.v1	pht001111.v4	AirNRExamMain	mc92v31	STRING	mc92v31	STRING
phv00082796.v1	pht001111.v4	AirNRExamMain	mc92v41	STRING	mc92v41	STRING
phv00082797.v1	pht001111.v4	AirNRExamMain	mc92v51	STRING	mc92v51	STRING
phv00082798.v1	pht001111.v4	AirNRExamMain	mc92v61	STRING	mc92v61	STRING
phv00082799.v1	pht001111.v4	AirNRExamMain	mcl11	STRING	mcl11	STRING
phv00082800.v1	pht001111.v4	AirNRExamMain	mcl41	STRING	mcl41	STRING
phv00082801.v1	pht001111.v4	AirNRExamMain	mcl51	STRING	mcl51	STRING
phv00082802.v1	pht001111.v4	AirNRExamMain	mcl921	STRING	mcl921	STRING
phv00082803.v1	pht001111.v4	AirNRExamMain	mcf11	STRING	mcf11	STRING
phv00082804.v1	pht001111.v4	AirNRExamMain	mcf41	STRING	mcf41	STRING
phv00082805.v1	pht001111.v4	AirNRExamMain	mcf51	STRING	mcf51	STRING
phv00082806.v1	pht001111.v4	AirNRExamMain	mcf921	STRING	mcf921	STRING
phv00082807.v1	pht001111.v4	AirNRExamMain	mcv11	STRING	mcv11	STRING
phv00082808.v1	pht001111.v4	AirNRExamMain	mcv41	STRING	mcv41	STRING
phv00082809.v1	pht001111.v4	AirNRExamMain	mcv51	STRING	mcv51	STRING
phv00082810.v1	pht001111.v4	AirNRExamMain	mcv921	STRING	mcv921	STRING
phv00082811.v1	pht001111.v4	AirNRExamMain	mc21	STRING	mc21	STRING
phv00082812.v1	pht001111.v4	AirNRExamMain	mc31	STRING	mc31	STRING
phv00082813.v1	pht001111.v4	AirNRExamMain	mc71	STRING	mc71	STRING
phv00082814.v1	pht001111.v4	AirNRExamMain	mc911	STRING	mc911	STRING
phv00082815.v1	pht001111.v4	AirNRExamMain	mc931	STRING	mc931	STRING
phv00082816.v1	pht001111.v4	AirNRExamMain	mc941	STRING	mc941	STRING
phv00082817.v1	pht001111.v4	AirNRExamMain	mc951	STRING	mc951	STRING
phv00082818.v1	pht001111.v4	AirNRExamMain	mcr611	STRING	mcr611	STRING
phv00082819.v1	pht001111.v4	AirNRExamMain	mcr621	STRING	mcr621	STRING
phv00082820.v1	pht001111.v4	AirNRExamMain	mcr631	STRING	mcr631	STRING
phv00082821.v1	pht001111.v4	AirNRExamMain	mcr641	STRING	mcr641	STRING
phv00082822.v1	pht001111.v4	AirNRExamMain	mcr651	STRING	mcr651	STRING
phv00082823.v1	pht001111.v4	AirNRExamMain	mcr681	STRING	mcr681	STRING
phv00082824.v1	pht001111.v4	AirNRExamMain	mcr811	STRING	mcr811	STRING
phv00082825.v1	pht001111.v4	AirNRExamMain	mcr821	STRING	mcr821	STRING
phv00082826.v1	pht001111.v4	AirNRExamMain	mcr831	STRING	mcr831	STRING
phv00082827.v1	pht001111.v4	AirNRExamMain	mcr841	STRING	mcr841	STRING
phv00082828.v1	pht001111.v4	AirNRExamMain	mcr861	STRING	mcr861	STRING
phv00082829.v1	pht001111.v4	AirNRExamMain	mcr871	STRING	mcr871	STRING
phv00082830.v1	pht001111.v4	AirNRExamMain	mcr881	STRING	mcr881	STRING
phv00082831.v1	pht001111.v4	AirNRExamMain	mcr891	STRING	mcr891	STRING
phv00082832.v1	pht001111.v4	AirNRExamMain	rmsdd1	NUMERIC	rmsdd1	FLOAT
phv00082833.v1	pht001111.v4	AirNRExamMain	sdnn1	NUMERIC	sdnn1	FLOAT
phv00082834.v1	pht001111.v4	AirNRExamMain	ecgnum1	NUMERIC	ecgnum1	FLOAT
phv00082835.v1	pht001111.v4	AirNRExamMain	baseseq1	NUMERIC	baseseq1	FLOAT
phv00082836.v1	pht001111.v4	AirNRExamMain	paxis1c	NUMERIC	paxis1c	FLOAT
phv00082837.v1	pht001111.v4	AirNRExamMain	prdur1c	NUMERIC	prdur1c	FLOAT
phv00082838.v1	pht001111.v4	AirNRExamMain	vcd1c	NUMERIC	vcd1c	FLOAT
phv00082839.v1	pht001111.v4	AirNRExamMain	qqs1c	NUMERIC	qqs1c	FLOAT
phv00082840.v1	pht001111.v4	AirNRExamMain	qst1c	NUMERIC	qst1c	FLOAT
phv00082841.v1	pht001111.v4	AirNRExamMain	stt1c	NUMERIC	stt1c	FLOAT
phv00082842.v1	pht001111.v4	AirNRExamMain	ecglvh1c	NUMERIC	ecglvh1c	FLOAT
phv00082843.v1	pht001111.v4	AirNRExamMain	afib1c	NUMERIC	afib1c	FLOAT
phv00082844.v1	pht001111.v4	AirNRExamMain	avb1c	NUMERIC	avb1c	FLOAT
phv00082845.v1	pht001111.v4	AirNRExamMain	majabn1c	NUMERIC	majabn1c	FLOAT
phv00082846.v1	pht001111.v4	AirNRExamMain	mqs1c	NUMERIC	mqs1c	FLOAT
phv00082847.v1	pht001111.v4	AirNRExamMain	hir1c	NUMERIC	hir1c	FLOAT
phv00082848.v1	pht001111.v4	AirNRExamMain	mst1c	NUMERIC	mst1c	FLOAT
phv00082849.v1	pht001111.v4	AirNRExamMain	ste1c	NUMERIC	ste1c	FLOAT
phv00082850.v1	pht001111.v4	AirNRExamMain	irbbb1c	NUMERIC	irbbb1c	FLOAT
phv00082851.v1	pht001111.v4	AirNRExamMain	lqt1c	NUMERIC	lqt1c	FLOAT
phv00082852.v1	pht001111.v4	AirNRExamMain	spr1c	NUMERIC	spr1c	FLOAT
phv00082853.v1	pht001111.v4	AirNRExamMain	lad1c	NUMERIC	lad1c	FLOAT
phv00082854.v1	pht001111.v4	AirNRExamMain	rad1c	NUMERIC	rad1c	FLOAT
phv00082855.v1	pht001111.v4	AirNRExamMain	minabn1c	NUMERIC	minabn1c	FLOAT
phv00082856.v1	pht001111.v4	AirNRExamMain	agatu11c	NUMERIC	agatu11c	FLOAT
phv00082857.v1	pht001111.v4	AirNRExamMain	agatu21c	NUMERIC	agatu21c	FLOAT
phv00082858.v1	pht001111.v4	AirNRExamMain	volu11c	NUMERIC	volu11c	FLOAT
phv00082859.v1	pht001111.v4	AirNRExamMain	volu21c	NUMERIC	volu21c	FLOAT
phv00082860.v1	pht001111.v4	AirNRExamMain	volsu11c	NUMERIC	volsu11c	FLOAT
phv00082861.v1	pht001111.v4	AirNRExamMain	volsu21c	NUMERIC	volsu21c	FLOAT
phv00082862.v1	pht001111.v4	AirNRExamMain	agatp11c	NUMERIC	agatp11c	FLOAT
phv00082863.v1	pht001111.v4	AirNRExamMain	agatp21c	NUMERIC	agatp21c	FLOAT
phv00082864.v1	pht001111.v4	AirNRExamMain	volp11c	NUMERIC	volp11c	FLOAT
phv00082865.v1	pht001111.v4	AirNRExamMain	volp21c	NUMERIC	volp21c	FLOAT
phv00082866.v1	pht001111.v4	AirNRExamMain	volsp11c	NUMERIC	volsp11c	FLOAT
phv00082867.v1	pht001111.v4	AirNRExamMain	volsp21c	NUMERIC	volsp21c	FLOAT
phv00082868.v1	pht001111.v4	AirNRExamMain	mass11c	NUMERIC	mass11c	FLOAT
phv00082869.v1	pht001111.v4	AirNRExamMain	mass21c	NUMERIC	mass21c	FLOAT
phv00082870.v1	pht001111.v4	AirNRExamMain	massm1c	NUMERIC	massm1c	FLOAT
phv00082871.v1	pht001111.v4	AirNRExamMain	phok11c	NUMERIC	phok11c	FLOAT
phv00082872.v1	pht001111.v4	AirNRExamMain	phok21c	NUMERIC	phok21c	FLOAT
phv00082873.v1	pht001111.v4	AirNRExamMain	model1	STRING	model1	STRING
phv00082874.v1	pht001111.v4	AirNRExamMain	modelno1	NUMERIC	modelno1	FLOAT
phv00082875.v1	pht001111.v4	AirNRExamMain	angct1	NUMERIC	angct1	FLOAT
phv00082876.v1	pht001111.v4	AirNRExamMain	coronct1	NUMERIC	coronct1	FLOAT
phv00082877.v1	pht001111.v4	AirNRExamMain	qcmot1	STRING	qcmot1	STRING
phv00082878.v1	pht001111.v4	AirNRExamMain	qcstrk1	STRING	qcstrk1	STRING
phv00082879.v1	pht001111.v4	AirNRExamMain	qcph1	STRING	qcph1	STRING
phv00082880.v1	pht001111.v4	AirNRExamMain	qcreg1	STRING	qcreg1	STRING
phv00082881.v1	pht001111.v4	AirNRExamMain	qcnoise1	STRING	qcnoise1	STRING
phv00082882.v1	pht001111.v4	AirNRExamMain	qczaxis1	STRING	qczaxis1	STRING
phv00082883.v1	pht001111.v4	AirNRExamMain	qcxypln1	STRING	qcxypln1	STRING
phv00082884.v1	pht001111.v4	AirNRExamMain	vlft1	NUMERIC	vlft1	FLOAT
phv00082885.v1	pht001111.v4	AirNRExamMain	vlad1	NUMERIC	vlad1	FLOAT
phv00082886.v1	pht001111.v4	AirNRExamMain	vcrc1	NUMERIC	vcrc1	FLOAT
phv00082887.v1	pht001111.v4	AirNRExamMain	vrt1	NUMERIC	vrt1	FLOAT
phv00082888.v1	pht001111.v4	AirNRExamMain	slft1	NUMERIC	slft1	FLOAT
phv00082889.v1	pht001111.v4	AirNRExamMain	slad1	NUMERIC	slad1	FLOAT
phv00082890.v1	pht001111.v4	AirNRExamMain	scrc1	NUMERIC	scrc1	FLOAT
phv00082891.v1	pht001111.v4	AirNRExamMain	srt1	NUMERIC	srt1	FLOAT
phv00082892.v1	pht001111.v4	AirNRExamMain	vslft1	NUMERIC	vslft1	FLOAT
phv00082893.v1	pht001111.v4	AirNRExamMain	vslad1	NUMERIC	vslad1	FLOAT
phv00082894.v1	pht001111.v4	AirNRExamMain	vscrc1	NUMERIC	vscrc1	FLOAT
phv00082895.v1	pht001111.v4	AirNRExamMain	vsrt1	NUMERIC	vsrt1	FLOAT
phv00082896.v1	pht001111.v4	AirNRExamMain	mlft1	NUMERIC	mlft1	FLOAT
phv00082897.v1	pht001111.v4	AirNRExamMain	mlad1	NUMERIC	mlad1	FLOAT
phv00082898.v1	pht001111.v4	AirNRExamMain	mcrc1	NUMERIC	mcrc1	FLOAT
phv00082899.v1	pht001111.v4	AirNRExamMain	mrt1	NUMERIC	mrt1	FLOAT
phv00082900.v1	pht001111.v4	AirNRExamMain	exp1	NUMERIC	exp1	FLOAT
phv00082901.v1	pht001111.v4	AirNRExamMain	ma1	NUMERIC	ma1	FLOAT
phv00082902.v1	pht001111.v4	AirNRExamMain	kvp1	NUMERIC	kvp1	FLOAT
phv00082903.v1	pht001111.v4	AirNRExamMain	slcthk1	NUMERIC	slcthk1	FLOAT
phv00082904.v1	pht001111.v4	AirNRExamMain	pixlen1	NUMERIC	pixlen1	FLOAT
phv00082905.v1	pht001111.v4	AirNRExamMain	nph1mn1	NUMERIC	nph1mn1	FLOAT
phv00082906.v1	pht001111.v4	AirNRExamMain	nph1sd1	NUMERIC	nph1sd1	FLOAT
phv00082907.v1	pht001111.v4	AirNRExamMain	nph2mn1	NUMERIC	nph2mn1	FLOAT
phv00082908.v1	pht001111.v4	AirNRExamMain	nph2sd1	NUMERIC	nph2sd1	FLOAT
phv00082909.v1	pht001111.v4	AirNRExamMain	nph3mn1	NUMERIC	nph3mn1	FLOAT
phv00082910.v1	pht001111.v4	AirNRExamMain	nph3sd1	NUMERIC	nph3sd1	FLOAT
phv00082911.v1	pht001111.v4	AirNRExamMain	nph4mn1	NUMERIC	nph4mn1	FLOAT
phv00082912.v1	pht001111.v4	AirNRExamMain	nph4sd1	NUMERIC	nph4sd1	FLOAT
phv00082913.v1	pht001111.v4	AirNRExamMain	mslope1	NUMERIC	mslope1	FLOAT
phv00082914.v1	pht001111.v4	AirNRExamMain	mintcpt1	NUMERIC	mintcpt1	FLOAT
phv00082915.v1	pht001111.v4	AirNRExamMain	adiam11	NUMERIC	adiam11	FLOAT
phv00082916.v1	pht001111.v4	AirNRExamMain	adiam21	NUMERIC	adiam21	FLOAT
phv00082917.v1	pht001111.v4	AirNRExamMain	adiam31	NUMERIC	adiam31	FLOAT
phv00082918.v1	pht001111.v4	AirNRExamMain	ctsmod1	NUMERIC	ctsmod1	FLOAT
phv00082919.v1	pht001111.v4	AirNRExamMain	fhmi1	NUMERIC	fhmi1	FLOAT
phv00082920.v1	pht001111.v4	AirNRExamMain	fhcrd1	NUMERIC	fhcrd1	FLOAT
phv00082921.v1	pht001111.v4	AirNRExamMain	bother1	NUMERIC	bother1	FLOAT
phv00082922.v1	pht001111.v4	AirNRExamMain	noteat1	NUMERIC	noteat1	FLOAT
